country,country_code,year,time_key,scenario,statistic,tas,source_file
China,CHN,2018,2018-07,ssp370,median,7.69,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2019,2019-07,ssp370,median,7.61,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2020,2020-07,ssp370,median,7.53,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2021,2021-07,ssp370,median,7.6,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2022,2022-07,ssp370,median,7.6,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2023,2023-07,ssp370,median,7.75,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2024,2024-07,ssp370,median,7.64,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2025,2025-07,ssp370,median,7.72,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2026,2026-07,ssp370,median,7.73,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2027,2027-07,ssp370,median,7.88,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2028,2028-07,ssp370,median,7.92,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2029,2029-07,ssp370,median,7.87,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2030,2030-07,ssp370,median,7.93,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2031,2031-07,ssp370,median,7.96,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2032,2032-07,ssp370,median,8.02,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2033,2033-07,ssp370,median,8.15,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2034,2034-07,ssp370,median,8.15,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2035,2035-07,ssp370,median,8.13,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2036,2036-07,ssp370,median,8.17,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2037,2037-07,ssp370,median,8.26,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2038,2038-07,ssp370,median,8.38,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2039,2039-07,ssp370,median,8.25,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2040,2040-07,ssp370,median,8.31,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2041,2041-07,ssp370,median,8.42,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2042,2042-07,ssp370,median,8.61,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2043,2043-07,ssp370,median,8.6,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2044,2044-07,ssp370,median,8.5,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2045,2045-07,ssp370,median,8.56,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2046,2046-07,ssp370,median,8.55,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2047,2047-07,ssp370,median,8.62,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2048,2048-07,ssp370,median,8.86,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2049,2049-07,ssp370,median,8.93,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2050,2050-07,ssp370,median,8.9,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2051,2051-07,ssp370,median,8.78,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2052,2052-07,ssp370,median,8.95,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2053,2053-07,ssp370,median,9.16,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2054,2054-07,ssp370,median,8.9,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2055,2055-07,ssp370,median,9.14,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2056,2056-07,ssp370,median,9.11,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2057,2057-07,ssp370,median,9.2,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2058,2058-07,ssp370,median,9.18,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2059,2059-07,ssp370,median,9.32,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2060,2060-07,ssp370,median,9.32,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2061,2061-07,ssp370,median,9.54,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2062,2062-07,ssp370,median,9.46,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2063,2063-07,ssp370,median,9.53,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2064,2064-07,ssp370,median,9.57,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2065,2065-07,ssp370,median,9.58,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2066,2066-07,ssp370,median,9.69,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2067,2067-07,ssp370,median,9.93,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2068,2068-07,ssp370,median,9.89,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2069,2069-07,ssp370,median,9.92,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2070,2070-07,ssp370,median,9.94,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2071,2071-07,ssp370,median,10.1,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2072,2072-07,ssp370,median,10.07,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2073,2073-07,ssp370,median,10.06,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2074,2074-07,ssp370,median,10.18,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2075,2075-07,ssp370,median,10.24,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2076,2076-07,ssp370,median,10.35,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2077,2077-07,ssp370,median,10.31,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2078,2078-07,ssp370,median,10.28,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2079,2079-07,ssp370,median,10.21,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2080,2080-07,ssp370,median,10.35,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2081,2081-07,ssp370,median,10.45,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2082,2082-07,ssp370,median,10.39,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2083,2083-07,ssp370,median,10.55,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2084,2084-07,ssp370,median,10.82,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2085,2085-07,ssp370,median,10.76,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2086,2086-07,ssp370,median,10.97,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2087,2087-07,ssp370,median,10.89,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2088,2088-07,ssp370,median,10.94,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2089,2089-07,ssp370,median,11.2,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2090,2090-07,ssp370,median,11.14,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2091,2091-07,ssp370,median,10.86,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2092,2092-07,ssp370,median,10.99,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2093,2093-07,ssp370,median,11.14,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2094,2094-07,ssp370,median,11.26,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2095,2095-07,ssp370,median,11.22,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2096,2096-07,ssp370,median,11.27,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2097,2097-07,ssp370,median,11.44,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2098,2098-07,ssp370,median,11.39,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2099,2099-07,ssp370,median,11.55,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2100,2100-07,ssp370,median,11.61,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2015,2015-07,ssp370,p10,6.57,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2016,2016-07,ssp370,p10,6.52,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2017,2017-07,ssp370,p10,6.8,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2018,2018-07,ssp370,p10,6.45,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2019,2019-07,ssp370,p10,6.46,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2020,2020-07,ssp370,p10,6.67,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2021,2021-07,ssp370,p10,6.66,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2022,2022-07,ssp370,p10,6.67,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2023,2023-07,ssp370,p10,6.75,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2024,2024-07,ssp370,p10,6.76,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2025,2025-07,ssp370,p10,6.6,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2026,2026-07,ssp370,p10,6.76,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2027,2027-07,ssp370,p10,6.84,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2028,2028-07,ssp370,p10,6.89,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2029,2029-07,ssp370,p10,7.03,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2030,2030-07,ssp370,p10,6.86,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2031,2031-07,ssp370,p10,7.1,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2032,2032-07,ssp370,p10,7.13,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2033,2033-07,ssp370,p10,7.15,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2034,2034-07,ssp370,p10,7.2,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2035,2035-07,ssp370,p10,7.1,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2036,2036-07,ssp370,p10,7.13,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2037,2037-07,ssp370,p10,7.44,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2038,2038-07,ssp370,p10,7.38,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2039,2039-07,ssp370,p10,7.18,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2040,2040-07,ssp370,p10,7.27,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2041,2041-07,ssp370,p10,7.5,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2042,2042-07,ssp370,p10,7.59,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2043,2043-07,ssp370,p10,7.65,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2044,2044-07,ssp370,p10,7.37,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2045,2045-07,ssp370,p10,7.6,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2046,2046-07,ssp370,p10,7.62,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2047,2047-07,ssp370,p10,7.65,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2048,2048-07,ssp370,p10,7.7,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2049,2049-07,ssp370,p10,7.93,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2050,2050-07,ssp370,p10,7.98,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2051,2051-07,ssp370,p10,7.8,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2052,2052-07,ssp370,p10,8.07,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2053,2053-07,ssp370,p10,7.9,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2054,2054-07,ssp370,p10,7.96,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2055,2055-07,ssp370,p10,8.21,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2056,2056-07,ssp370,p10,7.97,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2057,2057-07,ssp370,p10,8.08,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2058,2058-07,ssp370,p10,8.04,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2059,2059-07,ssp370,p10,8.32,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2060,2060-07,ssp370,p10,8.36,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2061,2061-07,ssp370,p10,8.48,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2062,2062-07,ssp370,p10,8.26,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2063,2063-07,ssp370,p10,8.19,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2064,2064-07,ssp370,p10,8.41,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2065,2065-07,ssp370,p10,8.51,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2066,2066-07,ssp370,p10,8.73,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2067,2067-07,ssp370,p10,8.56,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2068,2068-07,ssp370,p10,8.58,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2069,2069-07,ssp370,p10,8.6,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2070,2070-07,ssp370,p10,8.87,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2071,2071-07,ssp370,p10,8.85,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2072,2072-07,ssp370,p10,8.83,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2073,2073-07,ssp370,p10,9,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2074,2074-07,ssp370,p10,9.06,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2075,2075-07,ssp370,p10,8.95,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2076,2076-07,ssp370,p10,9.17,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2077,2077-07,ssp370,p10,9.14,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2078,2078-07,ssp370,p10,9.14,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2079,2079-07,ssp370,p10,9.17,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2080,2080-07,ssp370,p10,9.07,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2081,2081-07,ssp370,p10,9.23,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2082,2082-07,ssp370,p10,8.94,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2083,2083-07,ssp370,p10,9.28,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2084,2084-07,ssp370,p10,9.36,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2085,2085-07,ssp370,p10,9.47,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2086,2086-07,ssp370,p10,9.52,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2087,2087-07,ssp370,p10,9.46,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2088,2088-07,ssp370,p10,9.65,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2089,2089-07,ssp370,p10,9.54,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2090,2090-07,ssp370,p10,9.63,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2091,2091-07,ssp370,p10,9.5,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2092,2092-07,ssp370,p10,9.5,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2093,2093-07,ssp370,p10,9.72,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2094,2094-07,ssp370,p10,9.95,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2095,2095-07,ssp370,p10,9.69,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2096,2096-07,ssp370,p10,9.69,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2097,2097-07,ssp370,p10,10.07,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2098,2098-07,ssp370,p10,9.95,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2099,2099-07,ssp370,p10,10.08,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2100,2100-07,ssp370,p10,10.23,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2015,2015-07,ssp370,p90,8.44,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2016,2016-07,ssp370,p90,8.24,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2017,2017-07,ssp370,p90,8.24,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2018,2018-07,ssp370,p90,8.47,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2019,2019-07,ssp370,p90,8.53,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2020,2020-07,ssp370,p90,8.39,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2021,2021-07,ssp370,p90,8.62,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2022,2022-07,ssp370,p90,8.54,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2023,2023-07,ssp370,p90,8.68,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2024,2024-07,ssp370,p90,8.7,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2025,2025-07,ssp370,p90,8.84,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2026,2026-07,ssp370,p90,8.8,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2027,2027-07,ssp370,p90,8.86,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2028,2028-07,ssp370,p90,9.2,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2029,2029-07,ssp370,p90,8.91,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2030,2030-07,ssp370,p90,8.99,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2031,2031-07,ssp370,p90,9.18,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2032,2032-07,ssp370,p90,9.07,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2033,2033-07,ssp370,p90,9.25,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2034,2034-07,ssp370,p90,9.07,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2035,2035-07,ssp370,p90,9.22,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2036,2036-07,ssp370,p90,9.39,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2037,2037-07,ssp370,p90,9.38,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2038,2038-07,ssp370,p90,9.52,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2039,2039-07,ssp370,p90,9.51,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2040,2040-07,ssp370,p90,9.56,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2041,2041-07,ssp370,p90,9.6,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2042,2042-07,ssp370,p90,9.62,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2043,2043-07,ssp370,p90,9.92,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2044,2044-07,ssp370,p90,9.73,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2045,2045-07,ssp370,p90,9.9,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2046,2046-07,ssp370,p90,9.94,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2047,2047-07,ssp370,p90,9.83,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2048,2048-07,ssp370,p90,10.05,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2049,2049-07,ssp370,p90,10.08,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2050,2050-07,ssp370,p90,10.34,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2051,2051-07,ssp370,p90,10.08,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2052,2052-07,ssp370,p90,10.25,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2053,2053-07,ssp370,p90,10.35,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2054,2054-07,ssp370,p90,10.37,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2055,2055-07,ssp370,p90,10.4,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2056,2056-07,ssp370,p90,10.57,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2057,2057-07,ssp370,p90,10.6,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2058,2058-07,ssp370,p90,10.54,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2059,2059-07,ssp370,p90,10.83,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2060,2060-07,ssp370,p90,11.02,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2061,2061-07,ssp370,p90,11.09,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2062,2062-07,ssp370,p90,10.95,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2063,2063-07,ssp370,p90,10.93,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2064,2064-07,ssp370,p90,10.87,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2065,2065-07,ssp370,p90,10.96,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2066,2066-07,ssp370,p90,11.19,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2067,2067-07,ssp370,p90,11.37,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2068,2068-07,ssp370,p90,11.3,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2069,2069-07,ssp370,p90,11.44,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2070,2070-07,ssp370,p90,11.5,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2071,2071-07,ssp370,p90,11.44,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2072,2072-07,ssp370,p90,11.51,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2073,2073-07,ssp370,p90,11.83,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2074,2074-07,ssp370,p90,11.7,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2075,2075-07,ssp370,p90,11.81,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2076,2076-07,ssp370,p90,11.81,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2077,2077-07,ssp370,p90,12.43,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2078,2078-07,ssp370,p90,12.08,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2079,2079-07,ssp370,p90,12.07,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2080,2080-07,ssp370,p90,12.04,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2081,2081-07,ssp370,p90,12.32,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2082,2082-07,ssp370,p90,12.11,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2083,2083-07,ssp370,p90,12.33,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2084,2084-07,ssp370,p90,12.53,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2085,2085-07,ssp370,p90,12.62,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2086,2086-07,ssp370,p90,12.58,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2087,2087-07,ssp370,p90,12.73,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2088,2088-07,ssp370,p90,12.62,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2089,2089-07,ssp370,p90,12.87,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2090,2090-07,ssp370,p90,12.98,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2091,2091-07,ssp370,p90,13.17,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2092,2092-07,ssp370,p90,13.13,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2093,2093-07,ssp370,p90,13.67,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2094,2094-07,ssp370,p90,13.63,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2095,2095-07,ssp370,p90,13.39,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2096,2096-07,ssp370,p90,13.49,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2097,2097-07,ssp370,p90,13.84,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2098,2098-07,ssp370,p90,13.49,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2099,2099-07,ssp370,p90,13.86,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2100,2100-07,ssp370,p90,13.8,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2015,2015-07,ssp585,median,7.61,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2016,2016-07,ssp585,median,7.66,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2017,2017-07,ssp585,median,7.73,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2018,2018-07,ssp585,median,7.8,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2019,2019-07,ssp585,median,7.8,tas_timeseries_CHN_2015-2100_median_p10_p90.json
