region_order,region,region_en,Year,province_n,observed_value_mean,baseline_mode,baseline_mode_label
3,华东,East China,2018,7,16.836243188571427,x_driven,X-driven / Nature-like simplified baseline
3,华东,East China,2019,7,16.986543057142857,x_driven,X-driven / Nature-like simplified baseline
3,华东,East China,2020,7,16.99812948,x_driven,X-driven / Nature-like simplified baseline
3,华东,East China,2021,7,17.35321751714286,x_driven,X-driven / Nature-like simplified baseline
3,华东,East China,2022,7,17.04603124,x_driven,X-driven / Nature-like simplified baseline
3,华东,East China,2023,7,17.325208254285716,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2014,3,16.251399756666668,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2015,3,16.22990297,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2016,3,16.479229906666667,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2017,3,16.63125347,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2018,3,16.48841839,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2019,3,16.47995032,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2020,3,16.47503263,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2021,3,16.966874396666668,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2022,3,16.757859,x_driven,X-driven / Nature-like simplified baseline
4,华中,Central China,2023,3,16.981817160000002,x_driven,X-driven / Nature-like simplified baseline
5,华南,South China,2014,3,22.09472796333333,x_driven,X-driven / Nature-like simplified baseline
5,华南,South China,2015,3,22.50649351,x_driven,X-driven / Nature-like simplified baseline
5,华南,South China,2016,3,22.304293573333336,x_driven,X-driven / Nature-like simplified baseline
5,华南,South China,2017,3,22.31210314333333,x_driven,X-driven / Nature-like simplified baseline
5,华南,South China,2018,3,22.247472176666665,x_driven,X-driven / Nature-like simplified baseline
5,华南,South China,2019,3,22.69070345,x_driven,X-driven / Nature-like simplified baseline
5,华南,South China,2020,3,22.670332473333332,x_driven,X-driven / Nature-like simplified baseline
5,华南,South China,2021,3,22.792579399999997,x_driven,X-driven / Nature-like simplified baseline
5,华南,South China,2022,3,22.29480485666667,x_driven,X-driven / Nature-like simplified baseline
5,华南,South China,2023,3,22.850691353333332,x_driven,X-driven / Nature-like simplified baseline
6,西南,Southwest China,2014,5,10.4742121288,x_driven,X-driven / Nature-like simplified baseline
6,西南,Southwest China,2015,5,10.6776967566,x_driven,X-driven / Nature-like simplified baseline
6,西南,Southwest China,2016,5,10.8061531974,x_driven,X-driven / Nature-like simplified baseline
6,西南,Southwest China,2017,5,10.7075082508,x_driven,X-driven / Nature-like simplified baseline
6,西南,Southwest China,2018,5,10.5828911202,x_driven,X-driven / Nature-like simplified baseline
6,西南,Southwest China,2019,5,10.6931444642,x_driven,X-driven / Nature-like simplified baseline
6,西南,Southwest China,2020,5,10.669539783800001,x_driven,X-driven / Nature-like simplified baseline
6,西南,Southwest China,2021,5,10.9796796256,x_driven,X-driven / Nature-like simplified baseline
6,西南,Southwest China,2022,5,10.7957419988,x_driven,X-driven / Nature-like simplified baseline
6,西南,Southwest China,2023,5,11.1966705186,x_driven,X-driven / Nature-like simplified baseline
7,西北,Northwest China,2014,5,5.587225934,x_driven,X-driven / Nature-like simplified baseline
7,西北,Northwest China,2015,5,5.9482760994,x_driven,X-driven / Nature-like simplified baseline
7,西北,Northwest China,2016,5,6.0476611546,x_driven,X-driven / Nature-like simplified baseline
7,西北,Northwest China,2017,5,6.1497151606000005,x_driven,X-driven / Nature-like simplified baseline
7,西北,Northwest China,2018,5,5.641959098999999,x_driven,X-driven / Nature-like simplified baseline
7,西北,Northwest China,2019,5,5.8678982254,x_driven,X-driven / Nature-like simplified baseline
7,西北,Northwest China,2020,5,5.8025882156,x_driven,X-driven / Nature-like simplified baseline
7,西北,Northwest China,2021,5,6.1136939236,x_driven,X-driven / Nature-like simplified baseline
7,西北,Northwest China,2022,5,6.1791405778,x_driven,X-driven / Nature-like simplified baseline
7,西北,Northwest China,2023,5,6.3404108926,x_driven,X-driven / Nature-like simplified baseline
